#chrom	start	end	strand	gene	gene_id	transcripts
chr7	102396362	102426666	+	PRKRIP1	PRKRIP1	1
chr7	102405741	102405855	-	MIR548O	MIR548O	1
chr7	102405777	102421110	-	LOC105375433	LOC105375433	4
chr7	102433574	102456825	+	ORAI2	ORAI2	4
chr7	102456237	102464863	-	ALKBH4	ALKBH4	2
chr7	102464983	102473168	+	LRWD1	LRWD1	2
chr7	102465741	102465826	+	MIR5090	MIR5090	1
chr7	102471468	102471531	+	MIR4467	MIR4467	1
chr7	102473127	102478922	-	POLR2J	POLR2J	5
chr7	102479975	102517777	-	RASA4B	RASA4B	9
chr7	102493913	102495392	+	LOC124901715	LOC124901715	1
chr7	102537918	102572583	-	POLR2J3-UPK3BL2	POLR2J3-UPK3BL2	1
chr7	102537918	102543696	-	UPK3BL2	UPK3BL2	1
chr7	102551225	102565227	+	SPDYE2	SPDYE2	4
chr7	102566965	102572583	-	POLR2J3	POLR2J3	1
chr7	102573706	102579832	-	LOC124901712	LOC124901712	1
chr7	102579645	102616758	-	RASA4	RASA4	11
chr7	102593076	102594561	+	LOC124901714	LOC124901714	1
chr7	102637024	102671663	-	POLR2J2-UPK3BL1	POLR2J2-UPK3BL1	1
chr7	102637024	102642791	-	UPK3BL1	UPK3BL1	1
chr7	102650318	102662625	+	SPDYE2B	SPDYE2B	3
chr7	102666045	102671663	-	POLR2J2	POLR2J2	1
chr7	102678707	102748694	-	RASA4DP	RASA4DP	1
chr7	102688986	102691609	+	LOC124901713	LOC124901713	1
chr7	102748998	102850723	+	FAM185A	FAM185A	17
chr7	102755129	102755989	+	RPL7AP39	RPL7AP39	1
chr7	102798989	102799661	+	LOC100422696	LOC100422696	1
chr7	102811188	103074796	-	FBXL13	FBXL13	21
chr7	102834604	102834708	+	RNU6-1136P	RNU6-1136P	1
chr7	102857451	102857683	+	RN7SKP198	RN7SKP198	1
chr7	102912999	102945111	+	LRRC17	LRRC17	4
chr7	102973429	102988853	+	NFE4	NFE4	4
chr7	103075139	103099759	+	ARMC10	ARMC10	19
chr7	103087700	103089775	-	CRYZP1	CRYZP1	1
chr7	103099775	103150001	-	NAPEPLD	NAPEPLD	37
chr7	103141269	103142403	-	RPL19P12	RPL19P12	1
chr7	103141765	103168002	+	LOC105375434	LOC105375434	1
chr7	103151817	103152343	-	RPL23AP95	RPL23AP95	1
chr7	103175012	103280466	-	DPY19L2P2	DPY19L2P2	2
chr7	103261950	103262480	+	S100A11P1	S100A11P1	1
chr7	103297434	103347542	+	PMPCB	PMPCB	6
chr7	103312288	103344767	-	DNAJC2	DNAJC2	6
chr7	103347523	103369395	+	PSMC2	PSMC2	2
chr7	103348570	103348852	+	RPS29P16	RPS29P16	1
chr7	103352729	103446207	-	SLC26A5	SLC26A5	14
chr7	103445206	103514007	+	SLC26A5-AS1	SLC26A5-AS1	1
chr7	103471788	103989658	-	RELN	RELN	2
chr7	103484301	103484538	-	RN7SKP86	RN7SKP86	1
chr7	103534589	103539093	+	LOC105375435	LOC105375435	1
chr7	104126340	104208013	-	ORC5	ORC5	4
chr7	104328602	104908561	+	LHFPL3	LHFPL3	2
chr7	104667732	104671572	+	EIF4BP6	EIF4BP6	1
chr7	104796505	104804092	-	LHFPL3-AS1	LHFPL3-AS1	2
chr7	104894627	104926645	-	LHFPL3-AS2	LHFPL3-AS2	1
chr7	104911872	104912145	+	RN7SL8P	RN7SL8P	1
chr7	104940943	104962334	+	LOC101927902	LOC101927902	1
chr7	104981746	104991165	-	LINC01004	LINC01004	1
chr7	105010541	105014141	-	KMT2E-AS1	KMT2E-AS1	1
chr7	105014204	105115019	+	KMT2E	KMT2E	7
chr7	105114739	105399357	-	SRPK2	SRPK2	34
chr7	105128785	105134173	+	LOC124901717	LOC124901717	1
chr7	105192426	105203620	-	LOC124901718	LOC124901718	1
chr7	105244621	105245015	+	RPL36P12	RPL36P12	1
chr7	105301321	105302283	+	RWDD4P1	RWDD4P1	1
chr7	105332789	105332896	+	RNU6-1322P	RNU6-1322P	1
chr7	105353800	105357992	-	LOC124901716	LOC124901716	1
chr7	105456500	105522271	-	PUS7	PUS7	9
chr7	105530189	105530745	+	LOC100131785	LOC100131785	1
chr7	105532200	105567677	+	RINT1	RINT1	10
chr7	105565123	105581493	-	EFCAB10	EFCAB10	5
chr7	105581856	105583407	-	YBX1P2	YBX1P2	1
chr7	105604771	105876599	-	ATXN7L1	ATXN7L1	5
chr7	105819469	105820127	+	RPL13AP16	RPL13AP16	1
chr7	105963263	106036432	+	CDHR3	CDHR3	2
chr7	105996365	106000992	+	LOC107986833	LOC107986833	1
chr7	106090504	106112576	-	SYPL1	SYPL1	15
chr7	106125318	106127889	+	DCAF13P1	DCAF13P1	1
chr7	106208166	106208267	+	RNU6-392P	RNU6-392P	1
chr7	106216424	106217176	-	LOC124901719	LOC124901719	1
chr7	106248297	106285888	-	NAMPT	NAMPT	3
chr7	106315224	106315743	+	LARP1BP2	LARP1BP2	1
chr7	106569910	106573219	-	CTB-30L5.1	CTB-30L5.1	1
chr7	106624058	106629206	+	LOC105375440	LOC105375440	2
chr7	106654359	106661158	-	CCDC71L	CCDC71L	1
chr7	106775017	106838482	+	LINC02577	LINC02577	9
chr7	106781599	106781715	-	RNA5SP236	RNA5SP236	1
chr7	106865281	106908980	+	PIK3CG	PIK3CG	10
chr7	107044704	107161811	+	PRKAR2B	PRKAR2B	1
chr7	107064322	107079609	-	PRKAR2B-AS1	PRKAR2B-AS1	2
chr7	107169002	107202522	+	HBP1	HBP1	7
chr7	107201371	107563920	-	COG5	COG5	10
chr7	107203629	107209663	+	LOC124901720	LOC124901720	1
chr7	107222061	107234212	+	LOC124901721	LOC124901721	1
chr7	107450089	107450362	+	RPL37AP6	RPL37AP6	1
chr7	107470056	107477845	+	GPR22	GPR22	3
chr7	107563970	107578523	+	DUS4L	DUS4L	6
chr7	107563970	107623317	+	DUS4L-BCAP29	DUS4L-BCAP29	7
chr7	107580006	107623317	+	BCAP29	BCAP29	23
chr7	107603362	107603507	+	LOC124901856	LOC124901856	1
chr7	107628371	107629831	+	WBP1LP2	WBP1LP2	1
chr7	107642387	107643079	-	BANF1P5	BANF1P5	1
chr7	107656515	107661798	-	SLC26A4-AS1	SLC26A4-AS1	1
chr7	107660827	107717809	+	SLC26A4	SLC26A4	1
chr7	107742752	107744581	-	CBLL1-AS1	CBLL1-AS1	4
chr7	107744141	107761667	+	CBLL1	CBLL1	9
chr7	107765468	107803223	-	SLC26A3	SLC26A3	1
chr7	107808732	107809791	+	PIGCP2	PIGCP2	1
chr7	107856478	107870881	-	LOC105375444	LOC105375444	1
chr7	107870923	107874235	-	LOC105375445	LOC105375445	1
chr7	107891106	107921198	+	DLD	DLD	4
chr7	107923798	108003161	-	LAMB1	LAMB1	3
chr7	107999790	107999982	-	LOC124901861	LOC124901861	1
chr7	108011661	108130361	-	LAMB4	LAMB4	12
chr7	108020939	108022433	+	LOC107986834	LOC107986834	1
chr7	108045249	108048778	+	LOC107986835	LOC107986835	1
chr7	108079992	108092309	+	LOC105375446	LOC105375446	2
chr7	108147648	108456720	-	NRCAM	NRCAM	107
chr7	108165248	108177041	+	LOC102724363	LOC102724363	1
chr7	108271000	108271060	+	RNU7-83P	RNU7-83P	1
chr7	108470416	108528178	-	PNPLA8	PNPLA8	13
chr7	108510212	108511042	+	RPL7P32	RPL7P32	1
chr7	108526474	108529782	+	LOC124901722	LOC124901722	1
chr7	108541758	108569768	-	THAP5	THAP5	7
chr7	108569873	108574850	+	DNAJB9	DNAJB9	1
chr7	108598351	108615746	+	LOC105375448	LOC105375448	2
chr7	108720607	108721603	-	LOC100419644	LOC100419644	1
chr7	108783921	108841349	+	LOC107986836	LOC107986836	1
chr7	108883974	108884587	-	LINC02903	LINC02903	1
chr7	108993717	108995060	-	BUB3P1	BUB3P1	1
chr7	109763680	109764377	+	LOC100421901	LOC100421901	1
chr7	109838842	109840614	+	LOC100128056	LOC100128056	1
chr7	109959226	109960213	-	EIF3IP1	EIF3IP1	1
chr7	109998378	109999646	-	RPL3P8	RPL3P8	1
chr7	110215898	110216550	+	LOC100419782	LOC100419782	1
chr7	110360845	110534717	-	LOC105375451	LOC105375451	1
chr7	110436373	110459883	+	LOC105375450	LOC105375450	1
chr7	110555229	110573841	+	LOC105375452	LOC105375452	2
chr7	110573902	110587280	+	LOC124901723	LOC124901723	1
chr7	110662643	111562492	-	IMMP2L	IMMP2L	29
chr7	110723674	110727173	-	LOC124901724	LOC124901724	1
chr7	111091126	111125454	+	LRRN3	LRRN3	3
chr7	111109267	111109357	-	LOC124901853	LOC124901853	1
chr7	111172332	111243562	-	LOC124901725	LOC124901725	1
chr7	111334335	111392897	-	LOC124900232	LOC124900232	1
chr7	111411318	111411880	+	LOC100420226	LOC100420226	1
chr7	111726109	112206399	-	DOCK4	DOCK4	14
chr7	111756973	111758262	+	LOC124901727	LOC124901727	1
chr7	111758743	111766874	+	LOC124901726	LOC124901726	1
chr7	111808504	111821779	+	DOCK4-AS1	DOCK4-AS1	1
chr7	111953652	111953765	-	RNA5SP237	RNA5SP237	1
chr7	111971163	111972025	-	RPL7AP42	RPL7AP42	1
chr7	112206694	112343934	+	ZNF277	ZNF277	3
chr7	112288624	112288951	+	RN7SKP187	RN7SKP187	1
chr7	112340969	112361396	-	LOC124901728	LOC124901728	1
chr7	112370529	112391337	-	LOC105375456	LOC105375456	1
chr7	112372646	112373723	+	MTND5P8	MTND5P8	1
chr7	112373732	112374250	-	MTND6P24	MTND6P24	1
chr7	112374323	112375429	+	MTCYBP24	MTCYBP24	1
chr7	112416960	112445306	-	LOC105375457	LOC105375457	7
chr7	112423173	112477203	+	IFRD1	IFRD1	5
chr7	112480303	112491062	+	LSMEM1	LSMEM1	6
chr7	112520471	112521983	+	NPM1P14	NPM1P14	1
chr7	112618064	112620649	+	LOC100996249	LOC100996249	2
chr7	112622380	112708072	+	LOC101928012	LOC101928012	1
chr7	112734999	112738438	-	MIPEPP1	MIPEPP1	1
chr7	112762376	112790393	-	TMEM168	TMEM168	5
chr7	112800375	112802777	-	LOC124901729	LOC124901729	1
chr7	112819146	112939875	-	BMT2	BMT2	1
chr7	112954634	112995643	-	HRAT17	HRAT17	1
chr7	113082284	113087724	-	GPR85	GPR85	6
chr7	113100663	113146441	+	LOC107986837	LOC107986837	2
chr7	113116717	113118554	-	SMIM30	SMIM30	2
chr7	113486297	113495025	-	LOC124901813	LOC124901813	1
chr7	113639927	113644632	-	LOC124901814	LOC124901814	1
chr7	113876776	113919009	-	PPP1R3A	PPP1R3A	2
chr7	114086326	114693765	+	FOXP2	FOXP2	8
chr7	114297066	114297462	-	RPL36P13	RPL36P13	1
chr7	114613786	114613906	-	RNA5SP238	RNA5SP238	1
chr7	114653344	114653455	+	MIR3666	MIR3666	1
chr7	114922093	115019917	+	MDFIC	MDFIC	3
chr7	115078957	115126314	+	LINC01393	LINC01393	1
chr7	115123598	115231355	-	LINC01392	LINC01392	1
chr7	115136575	115137162	-	RAC1P6	RAC1P6	1
chr7	115503366	115504081	+	POLR2DP2	POLR2DP2	1
chr7	115581314	115581441	-	SNORA25B	SNORA25B	1
chr7	115679344	115682676	-	LOC100506489	LOC100506489	1
chr7	115682775	115684608	+	LOC105375461	LOC105375461	2
chr7	115756734	115758936	-	LOC105375462	LOC105375462	1
chr7	115789911	115791304	+	LOC102724407	LOC102724407	1
chr7	115935151	116159896	-	TFEC	TFEC	21
chr7	116210538	116258783	+	TES	TES	2
chr7	116235867	116257304	-	LOC124901730	LOC124901730	3
chr7	116275605	116286727	-	LOC102724434	LOC102724434	3
chr7	116285478	116337208	+	LOC105375463	LOC105375463	5
chr7	116337212	116349517	+	LOC124900233	LOC124900233	2
chr7	116414950	116453431	-	LOC107986838	LOC107986838	3
chr7	116499737	116508541	+	CAV2	CAV2	4
chr7	116525008	116561185	+	CAV1	CAV1	4
chr7	116563593	116688027	-	COMETT	COMETT	3
chr7	116672195	116798377	+	MET	MET	6
chr7	116730913	116730965	-	LOC124901824	LOC124901824	1
chr7	116811019	116848478	+	LOC124901731	LOC124901731	1
chr7	116862586	116922049	+	CAPZA2	CAPZA2	1
chr7	116873460	116874807	-	LOC100418716	LOC100418716	1
chr7	116903317	116903443	+	LOC124901857	LOC124901857	1
chr7	116940338	116947917	+	LOC105375465	LOC105375465	1
chr7	116944285	116944414	-	RNA5SP239	RNA5SP239	1
chr7	116952445	116954334	-	ST7-AS1	ST7-AS1	1
chr7	116953500	117230176	+	ST7	ST7	17
chr7	116953847	116959817	+	ST7-OT4	ST7-OT4	1
chr7	116970896	116972985	-	TPM3P1	TPM3P1	1
chr7	117020210	117020319	+	MIR6132	MIR6132	1
chr7	117072071	117145592	-	ST7-AS2	ST7-AS2	3
chr7	117091431	117100379	-	LOC124901732	LOC124901732	1
chr7	117182680	117209937	+	ST7-OT3	ST7-OT3	1
chr7	117232747	117241355	+	LOC105375466	LOC105375466	1
chr7	117262817	117264892	-	LOC100421782	LOC100421782	1
chr7	117263525	117263833	+	MTND2P37	MTND2P37	1
chr7	117263894	117264394	+	MTND4P6	MTND4P6	1
chr7	117264392	117264530	-	MTCYBP6	MTCYBP6	1
chr7	117275450	117323058	-	WNT2	WNT2	2
chr7	117287126	117300947	+	LOC124900596	LOC124900596	2
chr7	117300951	117322232	+	LOC105375467	LOC105375467	1
chr7	117363221	117427493	-	ASZ1	ASZ1	3
chr7	117439901	117440890	-	ANKRD49P4	ANKRD49P4	1
chr7	117447904	117475729	+	LOC105375468	LOC105375468	1
chr7	117480024	117668665	+	CFTR	CFTR	1
chr7	117542520	117564676	-	CFTR-AS1	CFTR-AS1	1
chr7	117710650	117873441	-	CTTNBP2	CTTNBP2	12
chr7	117715882	117730025	+	LOC105375469	LOC105375469	1
chr7	118151348	118183968	-	LOC105375470	LOC105375470	2
chr7	118184163	118204035	+	LSM8	LSM8	1
chr7	118224703	118242732	+	ANKRD7	ANKRD7	1
chr7	118259834	118322890	+	LOC102724495	LOC102724495	1
chr7	118323058	118383106	+	LOC124901815	LOC124901815	1
chr7	118427039	118444087	+	LOC105375471	LOC105375471	2
chr7	118455656	118480736	+	LOC105375472	LOC105375472	1
chr7	118493744	118501998	+	LOC107986747	LOC107986747	1
chr7	118502979	118569206	+	LOC105375473	LOC105375473	1
chr7	118880420	118881262	-	GTF3AP6	GTF3AP6	1
chr7	118950348	118951258	-	LOC648442	LOC648442	1
chr7	119460337	119500103	-	LOC124901816	LOC124901816	2
chr7	119619429	119907375	-	LINC02476	LINC02476	4
chr7	119706571	119712850	+	LOC107986840	LOC107986840	1
chr7	120005975	120006101	-	RNU1-29P	RNU1-29P	1
chr7	120216559	120227118	-	LOC105375477	LOC105375477	2
chr7	120272907	120750337	+	KCND2	KCND2	2
chr7	120672870	120672975	+	RNU6-581P	RNU6-581P	1
chr7	120787319	120858335	-	TSPAN12	TSPAN12	5
chr7	120856834	120902140	+	LOC124901733	LOC124901733	1
chr7	120950776	120977216	+	ING3	ING3	4
chr7	120965255	120971345	-	LOC124901734	LOC124901734	1
chr7	120981425	120981553	-	RNA5SP240	RNA5SP240	1
chr7	120988710	121297442	+	CPED1	CPED1	5
chr7	121050788	121051403	+	HMGN1P18	HMGN1P18	1
chr7	121083699	121083813	-	RNA5SP241	RNA5SP241	1
chr7	121143863	121266749	-	LOC124901735	LOC124901735	2
chr7	121194947	121195057	-	RNU6-517P	RNU6-517P	1
chr7	121325366	121341104	+	WNT16	WNT16	2
chr7	121348877	121396396	-	FAM3C	FAM3C	9
chr7	121398385	121398970	+	CYCSP19	CYCSP19	1
chr7	121440811	121441261	-	RPL18P4	RPL18P4	1
chr7	121450947	121511194	-	LOC124901737	LOC124901737	1
chr7	121485318	121489807	+	LOC124901736	LOC124901736	1
chr7	121488240	121505159	-	LOC105375478	LOC105375478	1
chr7	121736442	121736725	+	RN7SKP277	RN7SKP277	1
chr7	121843447	121845212	-	PNPT1P2	PNPT1P2	1
chr7	121873160	122062036	+	PTPRZ1	PTPRZ1	5
chr7	122073548	122144249	-	AASS	AASS	6
chr7	122081719	122081781	+	RNU7-154P	RNU7-154P	1
chr7	122144413	122219277	+	LOC102724527	LOC102724527	5
chr7	122159278	122162781	+	LOC100130618	LOC100130618	1
chr7	122234507	122234948	+	RPL31P37	RPL31P37	1
chr7	122301302	122310723	-	FEZF1	FEZF1	4
chr7	122303657	122310077	+	FEZF1-AS1	FEZF1-AS1	1
chr7	122318410	122886460	-	CADPS2	CADPS2	29
chr7	122527731	122563522	+	LOC105375481	LOC105375481	1
chr7	122681292	122681726	+	RPS26P31	RPS26P31	1
chr7	122683095	122693744	-	LOC124901739	LOC124901739	1
chr7	122697734	122699117	-	RNF133	RNF133	1
chr7	122701667	122702922	-	RNF148	RNF148	1
chr7	122703091	122748072	+	LOC124901738	LOC124901738	4
chr7	122849765	122850559	+	LOC100422456	LOC100422456	1
chr7	122915557	122966271	+	LOC105375482	LOC105375482	1
chr7	122994703	122995700	-	TAS2R16	TAS2R16	1
chr7	123113530	123199971	-	SLC13A1	SLC13A1	10
chr7	123229870	123230852	-	LYPLA1P1	LYPLA1P1	1
chr7	123452192	123534595	-	IQUB	IQUB	12
chr7	123457987	123458094	-	RNU6-296P	RNU6-296P	1
chr7	123534530	123536259	+	LOC124901740	LOC124901740	1
chr7	123536996	123601651	-	NDUFA5	NDUFA5	11
chr7	123567007	123639481	+	ASB15	ASB15	12
chr7	123614160	123624957	-	ASB15-AS1	ASB15-AS1	1
chr7	123655865	123664290	+	LMOD2	LMOD2	1
chr7	123681942	123749003	-	WASL	WASL	1
chr7	123749194	123750981	+	WASL-DT	WASL-DT	1
chr7	123763707	123877481	+	HYAL4	HYAL4	5
chr7	123790606	123790711	-	RNU6-11P	RNU6-11P	1
chr7	123814138	123819430	+	HYAL6P	HYAL6P	1
chr7	123925240	123971414	+	SPAM1	SPAM1	5
chr7	123994621	124027646	+	LOC105375483	LOC105375483	1
chr7	124030920	124033067	-	TMEM229A	TMEM229A	1
chr7	124077330	124090568	+	LOC124901741	LOC124901741	1
chr7	124274670	124289186	-	LOC105375484	LOC105375484	4
chr7	124287288	124353415	+	LOC107986841	LOC107986841	1
chr7	124337379	124352096	-	LOC101928211	LOC101928211	1
chr7	124385597	124392700	+	LOC102724577	LOC102724577	1
chr7	124476370	124476955	+	SSU72P8	SSU72P8	1
chr7	124480501	124481432	+	RPS2P31	RPS2P31	1
chr7	124647718	124647822	+	RNU6-102P	RNU6-102P	1
chr7	124743884	124765792	-	GPR37	GPR37	1
chr7	124777291	124790810	-	C7orf77	C7orf77	1
chr7	124822385	124929825	-	POT1	POT1	5
chr7	124929872	125145234	+	POT1-AS1	POT1-AS1	2
chr7	125033432	125035383	+	EEF1GP1	EEF1GP1	1
chr7	125151310	125153614	-	LINC02830	LINC02830	1
chr7	125159972	125160545	-	LOC100420864	LOC100420864	1
chr7	125184568	125379321	+	LOC101928283	LOC101928283	1
chr7	125229578	125264291	-	LOC101928254	LOC101928254	2
chr7	125300462	125300904	-	RPL31P39	RPL31P39	1
chr7	125344945	125345757	+	LOC100134507	LOC100134507	1
chr7	125345824	125346197	+	PPIAP93	PPIAP93	1
chr7	125437868	125466775	+	LOC100506664	LOC100506664	1
chr7	125845212	125854046	-	LOC105375487	LOC105375487	1
chr7	126233569	126253648	+	LOC105375488	LOC105375488	2
chr7	126438597	127252941	-	GRM8	GRM8	26
chr7	126495311	126537276	+	LOC101928357	LOC101928357	2
chr7	126511137	126512796	+	LOC100422325	LOC100422325	1
chr7	126649445	126654426	-	LOC107986843	LOC107986843	1
chr7	127058087	127058184	-	MIR592	MIR592	1
chr7	127094894	127096476	-	LOC124901742	LOC124901742	1
chr7	127215126	127229921	+	GRM8-AS1	GRM8-AS1	2
chr7	127295564	127296500	+	PRELID3BP10	PRELID3BP10	1
chr7	127342858	127392708	-	ZNF800	ZNF800	15
chr7	127476882	127485804	+	LINC03012	LINC03012	1
chr7	127485010	127589846	-	LOC105375490	LOC105375490	3
chr7	127580627	127585596	-	GCC1	GCC1	1
chr7	127588410	127591700	+	ARF5	ARF5	1
chr7	127589868	127592240	-	LOC105375489	LOC105375489	2
chr7	127593735	127602144	+	FSCN3	FSCN3	1
chr7	127610291	127618142	-	PAX4	PAX4	2
chr7	127647145	127651832	-	SND1-DT	SND1-DT	1
chr7	127652193	128092593	+	SND1	SND1	2
chr7	127857536	127858471	-	LOC100196944	LOC100196944	1
chr7	127997508	128000077	+	SND1-IT1	SND1-IT1	1
chr7	128027070	128032128	-	LRRC4	LRRC4	3
chr7	128047472	128053837	-	LOC124901743	LOC124901743	1
chr7	128081860	128081960	+	MIR593	MIR593	1
chr7	128121884	128126362	+	LOC105375493	LOC105375493	1
chr7	128206295	128224609	+	LOC124901744	LOC124901744	1
chr7	128207871	128207943	+	MIR129-1	MIR129-1	1
chr7	128241277	128257629	+	LEP	LEP	2
chr7	128297684	128343908	-	RBM28	RBM28	2
chr7	128306707	128307585	+	LOC100418961	LOC100418961	1
chr7	128344081	128344139	+	RNU7-27P	RNU7-27P	1
chr7	128350324	128361983	-	PRRT4	PRRT4	13
chr7	128386681	128392347	+	LOC107986845	LOC107986845	2
chr7	128392276	128409982	-	IMPDH1	IMPDH1	15
chr7	128433369	128433749	-	RPL37P16	RPL37P16	1
chr7	128443449	128443510	-	RNU7-54P	RNU7-54P	1
chr7	128450784	128470405	+	HILPDA-AS1	HILPDA-AS1	1
chr7	128455877	128458418	+	HILPDA	HILPDA	2
chr7	128476747	128506602	+	METTL2B	METTL2B	1
chr7	128570194	128570725	-	RPS10P15	RPS10P15	1
chr7	128627171	128627275	+	RNU6-177P	RNU6-177P	1
chr7	128641240	128660998	+	LINC01000	LINC01000	1
chr7	128655050	128658830	-	CICP14	CICP14	1
chr7	128671628	128709166	+	GARIN1A	GARIN1A	17
chr7	128693449	128693924	+	IMP3P2	IMP3P2	1
chr7	128697438	128697556	+	RNA5SP242	RNA5SP242	1
chr7	128697709	128697744	+	RNA5SP243	RNA5SP243	1
chr7	128709060	128731743	+	GARIN1B	GARIN1B	14
chr7	128710180	128710248	-	LOC124901825	LOC124901825	1
chr7	128739358	128773400	+	CALU	CALU	6
chr7	128761337	128761598	+	RN7SL81P	RN7SL81P	1
chr7	128772484	128775794	-	OPN1SW	OPN1SW	1
chr7	128783449	128783521	+	TRP-AGG2-3	TRP-AGG2-3	1
chr7	128790760	128822130	+	CCDC136	CCDC136	26
chr7	128830405	128859272	+	FLNC	FLNC	2
chr7	128850161	128862626	-	FLNC-AS1	FLNC-AS1	1
chr7	128862855	128865847	+	ATP6V1F	ATP6V1F	2
chr7	128866329	128872047	+	ATP6V1FNB	ATP6V1FNB	1
chr7	128876864	128910709	-	KCP	KCP	2
chr7	128891228	128900925	+	LOC105375497	LOC105375497	2
chr7	128912459	128914064	-	LOC392787	LOC392787	1
chr7	128937031	128950038	+	IRF5	IRF5	16
chr7	128954184	129056193	-	TNPO3	TNPO3	30
chr7	128970733	128971029	+	RN7SL306P	RN7SL306P	1
chr7	129028581	129030945	+	ODCP	ODCP	1
chr7	129055222	129057239	+	TPI1P2	TPI1P2	1
chr7	129061530	129061634	+	LOC124901836	LOC124901836	1
chr7	129093027	129102983	-	LOC112267982	LOC112267982	1
chr7	129103554	129103700	-	LOC124901863	LOC124901863	1
chr7	129117418	129117895	-	CYCSP20	CYCSP20	1
chr7	129126270	129130793	+	LOC407835	LOC407835	2
chr7	129144706	129169699	+	TSPAN33	TSPAN33	2
chr7	129164848	129164958	+	RNY1P11	RNY1P11	1
chr7	129188632	129213545	+	SMO	SMO	2
chr7	129225029	129430211	+	AHCYL2	AHCYL2	17
chr7	129301748	129319872	+	LOC124900234	LOC124900234	1
chr7	129340776	129352477	+	LOC105375500	LOC105375500	1
chr7	129368023	129377678	-	LOC107986847	LOC107986847	2
chr7	129405634	129405696	+	RNU7-16P	RNU7-16P	1
chr7	129409857	129410556	-	CDC26P1	CDC26P1	1
chr7	129434431	129488399	+	STRIP2	STRIP2	12
chr7	129477754	129478222	+	SNRPGP3	SNRPGP3	1
chr7	129484503	129484656	+	RNU1-72P	RNU1-72P	1
chr7	129502530	129512918	+	SMKR1	SMKR1	2
chr7	129611719	129757076	+	NRF1	NRF1	4
chr7	129756265	129756377	+	RNA5SP244	RNA5SP244	1
chr7	129762981	129769205	-	LOC105375501	LOC105375501	1
chr7	129770382	129770492	-	MIR182	MIR182	1
chr7	129774691	129774769	-	MIR96	MIR96	1
chr7	129774904	129775014	-	MIR183	MIR183	1
chr7	129830731	129952960	-	UBE2H	UBE2H	4
chr7	129953066	130026312	+	UBE2H-DT	UBE2H-DT	1
chr7	130018285	130051451	-	ZC3HC1	ZC3HC1	10
chr7	130027276	130027397	+	RNA5SP245	RNA5SP245	1
chr7	130070533	130135705	+	KLHDC10	KLHDC10	5
chr7	130141730	130142618	+	LINC03008	LINC03008	2
chr7	130164712	130205406	-	TMEM209	TMEM209	4
chr7	130192079	130200296	+	LOC124901745	LOC124901745	2
chr7	130205409	130216844	+	SSMEM1	SSMEM1	4
chr7	130266862	130289798	+	CPA2	CPA2	1
chr7	130293160	130324180	+	CPA4	CPA4	3
chr7	130318642	130351631	-	LOC105375503	LOC105375503	6
chr7	130319278	130319382	+	LOC124901842	LOC124901842	1
chr7	130344414	130344518	+	LOC124901837	LOC124901837	1
chr7	130344815	130374599	+	CPA5	CPA5	18
chr7	130365649	130367127	-	LOC105375504	LOC105375504	1
chr7	130380493	130388108	+	CPA1	CPA1	1
chr7	130393770	130441741	-	CEP41	CEP41	10
chr7	130441753	130443226	+	LOC105375505	LOC105375505	3
chr7	130486041	130490977	-	MESTIT1	MESTIT1	1
chr7	130486174	130506465	+	MEST	MEST	8
chr7	130496110	130496204	+	MIR335	MIR335	1
chr7	130506237	130668748	-	COPG2	COPG2	2
chr7	130543452	130546900	+	COPG2IT1	COPG2IT1	1
chr7	130592457	130596976	+	LOC124901746	LOC124901746	1
chr7	130602794	130602913	-	RNA5SP246	RNA5SP246	1
chr7	130668642	130687432	-	TSGA13	TSGA13	2
chr7	130730696	130734207	-	KLF14	KLF14	1
chr7	130734263	130853951	+	LOC105375508	LOC105375508	6
chr7	130790918	130832738	-	LOC105375509	LOC105375509	2
chr7	130822458	130823197	-	LOC347674	LOC347674	1
chr7	130823204	130823511	-	H4P1	H4P1	1
chr7	130839908	130843931	-	LOC100133252	LOC100133252	1
chr7	130876746	130876810	-	MIR29A	MIR29A	1
chr7	130877458	130877539	-	MIR29B1	MIR29B1	1
chr7	130877561	131109925	-	LINC-PINT	LINC-PINT	13
chr7	130913463	130921946	+	LINC00513	LINC00513	1
chr7	131054885	131054992	-	RNU6-1010P	RNU6-1010P	1
chr7	131110093	131496632	+	MKLN1	MKLN1	7
chr7	131242554	131243041	+	RPL27P11	RPL27P11	1
chr7	131309743	131327779	-	MKLN1-AS	MKLN1-AS	1
chr7	131339644	131344274	+	LOC124901747	LOC124901747	1
chr7	131500270	131556628	-	PODXL	PODXL	2
chr7	131520113	131520477	+	RPL31P36	RPL31P36	1
chr7	131661899	131662665	-	EEF1B2P6	EEF1B2P6	1
chr7	131665512	131665908	+	RPS14P10	RPS14P10	1
chr7	131702223	131702681	-	RPS15AP22	RPS15AP22	1
chr7	131753647	131754295	-	NDUFB9P2	NDUFB9P2	1
chr7	131845059	131882932	+	LOC107986849	LOC107986849	1
chr7	131892411	131893510	-	CAPZA1P4	CAPZA1P4	1
chr7	131910219	131948953	+	LOC101928782	LOC101928782	1
chr7	132087923	132089314	+	LOC100533635	LOC100533635	1
chr7	132123339	132648688	-	PLXNA4	PLXNA4	11
chr7	132260860	132264289	+	LOC101928807	LOC101928807	1
chr7	132403645	132410349	+	LOC105375511	LOC105375511	1
